ticket_id,text,category,urgency
1000,I'd like to know more about your latest product offerings.,Product Inquiry,High
1001,there's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1002,I'm getting error messages when trying to access certain features. I'm a longtime customer.,Technical Support,Medium
1003,I think my account has been compromised.,Account Management,Medium
1004,i can't seem to access the platform from my device. i appreciate your help with this.,Technical Support,Medium
1005,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1006,I'm getting error messages when trying to access certain features.,Technical Support,Medium
1007,I need to send this back as it's not what I expected.,Returns & Refunds,High
1008,Can you process a refund for my recent purchase?,Billing & Payments,Medium
1009,The page loads extremely slowly for me.,Technical Support,Medium
1010,Can you help me with some information?,Product Inquiry,Low
1011,do you have any recommendations for me? i'm a longtime customer.,General/Irrelevant,Medium
1012,I need to update my payment information.,Billing & Payments,High
1013,I have an issue with my recent order. Looking forward to your response.,Returns & Refunds,Medium
1014,can you help me recover my account access?,Account Management,Medium
1015,I need help with my purchase.,Returns & Refunds,High
1016,Can you help me with some information? Looking forward to your response.,General/Irrelevant,Low
1017,"hi there, just wanted to reach out.",General/Irrelevant,Medium
1018,the feature you mentioned isn't working as described.,Technical Support,Low
1019,Just checking in to see how things are going.,General/Irrelevant,Medium
1020,"Just checking in to see how things are going. By the way, the weather is nice today.",General/Irrelevant,Medium
1021,Can I get a refund for this purchase?,Returns & Refunds,Medium
1022,i'd like to know more about your latest product offerings.,Product Inquiry,High
1023,I need help accessing my account. This is my first time contacting support.,Account Management,High
1024,Do you have any recommendations for me?,General/Irrelevant,Medium
1025,I think my account has been compromised.,Account Management,Medium
1026,the product arrived defective and doesn't work. i'm a longtime customer.,Returns & Refunds,Medium
1027,can i exchange this for a different option? this is my first time contacting support.,Returns & Refunds,Medium
1028,Can you help me recover my account access?,Account Management,Medium
1029,I think my account has been compromised.,Account Management,Medium
1030,I'm having trouble connecting to the service.,Billing & Payments,Medium
1031,I have a question for you.,Product Inquiry,Low
1032,can you help me with some information?,Product Inquiry,Low
1033,Do you have information about what's included in the package?,Product Inquiry,Low
1034,i have a general inquiry for your team. i'm a longtime customer.,General/Irrelevant,Low
1035,"Hi there, just wanted to reach out.",General/Irrelevant,Medium
1036,I noticed an issue with my account - the amount doesn't match what I expected.,Billing & Payments,Medium
1037,i'm getting error messages when trying to access certain features.,Technical Support,Medium
1038,i'm unable to reset my password.,Account Management,Medium
1039,What options are available for customization?,Product Inquiry,Medium
1040,My credit card declined but I was still charged.,Returns & Refunds,Medium
1041,what can you tell me about your company?,General/Irrelevant,Medium
1042,I need assistance with my account.,Account Management,High
1043,I'd like to provide feedback about something. Thanks for your assistance.,General/Irrelevant,Low
1044,I need to update my payment information.,Billing & Payments,High
1045,I need to update my payment information.,Billing & Payments,High
1046,i need assistance with something.,General/Irrelevant,High
1047,i have an issue with my recent order.,Returns & Refunds,Medium
1048,i need assistance with an issue.,Technical Support,High
1049,This product doesn't meet my expectations and I'd like to return it.,Returns & Refunds,Medium
1050,The amount I was charged seems incorrect.,Billing & Payments,Medium
1051,i have a question for you.,General/Irrelevant,Low
1052,I need to update my payment information.,Billing & Payments,High
1053,I'm looking for some general information. Thanks for your assistance.,General/Irrelevant,Low
1054,the amount i was charged seems incorrect.,Billing & Payments,Medium
1055,i'm looking for more details about something.,Product Inquiry,Medium
1056,i need assistance with an issue.,Billing & Payments,High
1057,i received a damaged item and would like to return it.,Returns & Refunds,Medium
1058,I have an issue with my recent purchase.,Billing & Payments,Medium
1059,Can you help me understand this transaction from last week?,Billing & Payments,Medium
1060,can i exchange this for a different option?,Returns & Refunds,Medium
1061,The service seems to be down or experiencing technical difficulties. I hope you're having a good day.,Technical Support,Medium
1062,I'm having trouble connecting to the service.,Technical Support,Medium
1063,I'd like to return this item and get my money back. Thanks for your assistance.,Returns & Refunds,Low
1064,I didn't authorize this charge on my account.,Billing & Payments,Medium
1065,There's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1066,Can you help me understand this transaction from last week?,Billing & Payments,Medium
1067,What features are included in this version?,Product Inquiry,Medium
1068,"How do I initiate a return? By the way, the weather is nice today.",Returns & Refunds,Medium
1069,Just checking in to see how things are going. I appreciate your help with this.,General/Irrelevant,Medium
1070,How do I change my subscription settings?,Billing & Payments,Medium
1071,is this item available in different sizes or colors?,Product Inquiry,Medium
1072,I need assistance with my account.,Account Management,High
1073,The shipment included an incorrect item.,Returns & Refunds,Medium
